luminosity_distance KNphi inclination_EM KNtimeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
865.6436528782403 17.648236515256464 0.5637007362766041 -0.016842966022253325 -1.3434665956229639 -2.9911461316348804 0.0 -115.96686258653757 -15.698396487033703
784.5699109586044 32.346950271673435 0.5591543945596585 -0.03384905109996916 -1.0301902018808304 -1.9380139820459437 0.0 -115.90869102797465 -15.840880891457699
864.5694114773751 16.65408452392196 0.5597919992336378 -0.05971564120894257 -1.3357210026639175 -2.559154008663262 0.0 -115.90541966441731 -15.706288602912318
833.6738456234013 21.254692891455353 0.5702101090495605 -0.00965610578088505 -1.243774229762142 -1.8950788670466274 0.0 -115.9037421426487 -15.739436260336964
834.4189953418606 23.56031166858871 0.5695085717840919 -0.0022889131297976206 -1.1823863743110008 -1.3329288206876087 0.0 -115.8681644670661 -15.739306862831207
825.269318574909 17.474006767482997 0.5669431239653867 -0.0695994351527951 -1.102698662514851 -2.230611021545396 0.0 -115.84840013636745 -15.758458040545017
843.5314594721027 24.733002237814468 0.5688125301288606 -0.0008794589289253807 -1.066052352009162 -1.2056581145488643 0.0 -115.81974177134302 -15.725539008453612
811.759435812911 20.806731611902812 0.557884599763007 -0.019509783953510773 -1.4851536256775841 -2.8679545565503806 0.0 -115.75741448655194 -15.795582128225437
770.9914943790166 30.836009467004466 0.5540326606708413 -0.004541271199820063 -1.2244256478860476 -1.2671012591171693 0.0 -115.61654262355228 -15.873557855736392
811.637434531878 21.033097542610847 0.551983362488482 -0.016402238459723772 -1.3803475526597693 -1.5683952021112662 0.0 -115.61470086569021 -15.805309392522632
825.5669348858299 17.14470679539592 0.5551666759192995 0.0034277009859438046 -1.3147197320310293 -2.519281924036819 0.0 -115.60535465154487 -15.776702853823277
818.308153870008 20.081343437253064 0.5703805363313094 -0.040060036904066454 -1.1267025172584386 -1.489018238511172 0.0 -115.56576990037004 -15.764741271699572
790.1748248673255 22.494919990179056 0.5670911679522755 -0.017471840200630417 -1.0179462257455083 -2.2681008976047417 0.0 -115.47515433292295 -15.818378139360103
779.9985095384883 24.78019447426872 0.5580471726799403 -0.047381449168871104 -1.091301980493534 -2.8920701561671898 0.0 -115.43495666911753 -15.850820472434394
843.6480404762906 17.13990485295106 0.5559139688746744 -0.01964401374016811 -1.3417281620470927 -1.6944636435403406 0.0 -115.3603909415495 -15.745817214781326
795.4182239211041 15.362038534867866 0.5545225620562008 -0.007362225163900948 -1.2561257866074733 -1.0456397099740151 0.0 -115.31023361731644 -15.829183240638534
800.2880163749165 22.087971348642334 0.5541233955186217 -0.046866394346683826 -1.4061544231002565 -1.5353854119497385 0.0 -115.30101108953124 -15.821347618831563
789.1360010799357 28.659849593617714 0.5596763918840131 0.013248328606501936 -1.044312377418962 -1.6485661733725456 0.0 -115.2554654856215 -15.831950255860763
844.7085859834143 24.24516931822949 0.5680317650797172 -0.019017290218129812 -1.0559537802448844 -2.8342111062579503 0.0 -115.24317029796329 -15.724857788348565
853.2530804150338 20.602003932627532 0.5586320923826614 0.0018402883549457627 -1.3376188856122695 -2.7430389651096725 0.0 -115.2329755358742 -15.726026959208196
779.4147845329331 23.429004564803975 0.5544646700261296 -0.03288040082828969 -1.3606351604560432 -1.291723916532802 0.0 -115.20294964395558 -15.857629983889758
843.0810853822338 28.957759758434648 0.555087476188264 -0.05232341570171695 -1.0797240918157285 -1.4558794774046135 0.0 -115.1976720761211 -15.748066725539681
840.8112166025965 30.270691864676127 0.5545764888738378 -0.01673317643000516 -1.204634464782571 -2.184059509817062 0.0 -115.11338469849005 -15.752574453038
857.8603774821672 22.998006805764785 0.5548851777064174 -0.044940235827036545 -1.1463013673011893 -2.537158028428814 0.0 -115.06740561631068 -15.724727306042128
804.499613052249 27.935872678588645 0.5497198622243233 -0.007167949562989939 -1.1075279582303161 -2.9272230144031184 0.0 -115.05878417020251 -15.82121916400032
801.3298341363231 21.619074787787056 0.568448826519987 -0.027462089361328434 -1.028773375064233 -2.9377575559791604 0.0 -115.04927261874694 -15.796756490329491
842.3217733652122 17.844817358317318 0.5557812491213422 -0.054288898403124675 -1.2815809354812917 -1.0457767827358508 0.0 -115.01851948970884 -15.748179466920805
